Brazil,"Personal remittances, received (% of GDP)",0.314632464,0.139564554,0.160741696,0.13141689
Brazil,"Personal remittances, received (current US$)",2805358000,3082801866,2896909952,2698770651
Brazil,GDP growth (annual %),3.20213138,7.52822583,-3.545763393,1.063861259
Brazil,GDP (current US$),8.92E+11,2.21E+12,1.80E+12,2.05E+12
Barbados,"Personal remittances, received (% of GDP)",2.423611829,1.80729809,2.362863133,2.31768889
Barbados,"Personal remittances, received (current US$)",94455423.8,81868796.19,108317190.3,108317190.3
Barbados,GDP growth (annual %),3.975204172,0.265446224,0.904159132,1
Barbados,GDP (current US$),3897300000,4529900000,4584150000,4673500000
Brunei Darussalam,"Personal remittances, received (% of GDP)",,,,
Brunei Darussalam,"Personal remittances, received (current US$)",,,,
Brunei Darussalam,GDP growth (annual %),0.387507208,2.598965746,-0.566814609,1.328751422
Brunei Darussalam,GDP (current US$),9531402848,13707370737,12930394938,12128089000
Bhutan,"Personal remittances, received (% of GDP)",,0.521830602,0.954287467,1.70702901
Bhutan,"Personal remittances, received (current US$)",,8273480.865,19656507.92,43153828.43
Bhutan,GDP growth (annual %),7.12255965,11.73085436,6.644564258,4.629101391
Bhutan,GDP (current US$),818869145.1,1585472534,2059809920,2528007911
Botswana,"Personal remittances, received (% of GDP)",1.185608276,0.174567437,0.208351795,0.208735922
Botswana,"Personal remittances, received (current US$)",117744357.8,22321334.8,30045587.78,36333755.67
Botswana,GDP growth (annual %),4.556645657,8.563631748,-1.697965616,2.90753491
Botswana,GDP (current US$),9931134941,12786654366,14420604206,17406565823
Central African Republic,"Personal remittances, received (% of GDP)",,,,
Central African Republic,"Personal remittances, received (current US$)",,,,
Central African Republic,GDP growth (annual %),0.908210515,4.630818432,4.56280844,4.457283162
Central African Republic,GDP (current US$),1337362392,2140503193,1709221159,2167501640
Canada,"Personal remittances, received (% of GDP)",0.079820602,0.074314543,0.0820365,0.080541132
Canada,"Personal remittances, received (current US$)",933388577.2,1199096963,1273944753,1326405510
Canada,GDP growth (annual %),3.20119986,3.082591592,0.674305601,2.985033351
Canada,GDP (current US$),1.17E+12,1.61E+12,1.55E+12,1.65E+12
Central Europe and the Baltics,"Personal remittances, received (% of GDP)",1.888445201,1.528490208,2.054091909,2.061087562
Central Europe and the Baltics,"Personal remittances, received (current US$)",16712296223,20058478102,26443575390,30000531673
Central Europe and the Baltics,GDP growth (annual %),4.991550266,1.556048138,3.830079284,4.720690224
Central Europe and the Baltics,GDP (current US$),8.85E+11,1.31E+12,1.29E+12,1.46E+12
Switzerland,"Personal remittances, received (% of GDP)",0.421219038,0.427320198,0.370234809,0.361676133
Switzerland,"Personal remittances, received (current US$)",1721477365,2494622577,2516975789,2455655891
Switzerland,GDP growth (annual %),3.11524553,3.002699108,1.333369086,1.616692155
Switzerland,GDP (current US$),4.09E+11,5.84E+11,6.80E+11,6.79E+11
Channel Islands,"Personal remittances, received (% of GDP)",,,,
Channel Islands,"Personal remittances, received (current US$)",,,,
Channel Islands,GDP growth (annual %),1.377734157,,,
Channel Islands,GDP (current US$),8827272727,,,
Chile,"Personal remittances, received (% of GDP)",0.01057213,0.028519091,0.024185158,0.023957733
Chile,"Personal remittances, received (current US$)",13000000,62324923.11,58992215.84,66541753.59
Chile,GDP growth (annual %),5.742830489,5.844177296,2.303767036,1.279183341
Chile,GDP (current US$),1.23E+11,2.19E+11,2.44E+11,2.78E+11
China,"Personal remittances, received (% of GDP)",0.145980386,0.224013018,0.403478066,0.23614282
China,"Personal remittances, received (current US$)",3337061829,13636040942,44445297190,28675983092
China,GDP growth (annual %),11.39577594,10.63614046,6.90531667,6.757007611
China,GDP (current US$),2.29E+12,6.09E+12,1.10E+13,1.21E+13
Côte d'Ivoire,"Personal remittances, received (% of GDP)",0.955074788,1.500843925,1.014897388,0.899264464
Côte d'Ivoire,"Personal remittances, received (current US$)",163173835.6,373477565.8,336246809.7,342202592
Côte d'Ivoire,GDP growth (annual %),1.721247367,2.017638592,8.84285995,7.702089422
Côte d'Ivoire,GDP (current US$),17084927540,24884503951,33131113901,38053610009
Cameroon,"Personal remittances, received (% of GDP)",0.429046893,0.439335029,0.781498566,0.906576993
Cameroon,"Personal remittances, received (current US$)",76988535.8,114858952.7,241609804.7,316601909.7
Cameroon,GDP growth (annual %),2.020662307,3.422507641,5.651463744,3.549087318
Cameroon,GDP (current US$),17944084201,26143818510,30916218544,34922782311
Congo,"Personal remittances, received (% of GDP)",0.074386823,0.072800722,3.07657919,3.350450824
Congo,"Personal remittances, received (current US$)",8900000,15700000,1166568218,1273816799
Congo,GDP growth (annual %),6.135151155,7.107976576,6.91618781,3.726947653
Congo,GDP (current US$),11964484668,21565720044,37917704900,38019265626
"Congo, Rep.","Personal remittances, received (% of GDP)",0.186875121,0.275691499,0.348227693,
"Congo, Rep.","Personal remittances, received (current US$)",11375094.56,33104705.62,29784452.9,
"Congo, Rep.",GDP growth (annual %),7.755758978,8.751601459,2.646485877,-3.1
"Congo, Rep.",GDP (current US$),6087003176,12007880439,8553154580,8701334800
Colombia,"Personal remittances, received (% of GDP)",2.30444151,1.408876239,1.594543094,1.774072961
Colombia,"Personal remittances, received (current US$)",3345610321,4030846326,4679692947,5531379859
Colombia,GDP growth (annual %),4.706555914,4.347553268,2.955945907,1.351326676
Colombia,GDP (current US$),1.45E+11,2.86E+11,2.93E+11,3.12E+11
Comoros,"Personal remittances, received (% of GDP)",8.267358537,9.609486925,13.03372701,12.3675099
Comoros,"Personal remittances, received (current US$)",54034199.48,87166995.76,128792806,132100382.2
Comoros,GDP growth (annual %),2.83754787,3.799933455,1.099964632,2.707658829
Comoros,GDP (current US$),653584808.7,907093130.3,988150249.5,1068124330
Cabo Verde,"Personal remittances, received (% of GDP)",14.06335605,7.865710956,12.58163087,12.98294122
Cabo Verde,"Personal remittances, received (current US$)",136692598.6,130909874.5,200903517.8,229958523.2
Cabo Verde,GDP growth (annual %),6.912457988,1.466790097,1.006863707,4.013257244
Cabo Verde,GDP (current US$),971977088.2,1664310770,1596800287,1771235958
Costa Rica,"Personal remittances, received (% of GDP)",2.107183219,1.423956241,1.007719681,0.963250454
Costa Rica,"Personal remittances, received (current US$)",420346410,530688786,551988507.6,560366619.1
Costa Rica,GDP growth (annual %),3.870873326,4.951863844,3.631731441,3.397181701
Costa Rica,GDP (current US$),19948261084,37268616184,54775997556,58174550212
Caribbean Netherlands,"Personal remittances, received (% of GDP)",6.006317581,5.31311408,5.430355379,5.789989456
Caribbean Netherlands,"Personal remittances, received (current US$)",2345027436,2826099080,3248871336,3295240062
Caribbean Netherlands,GDP growth (annual %),3.719484518,1.462283047,1.168251237,0.294576117
Caribbean Netherlands,GDP (current US$),48878881379,63286770719,71620269050,69074812658
Cuba,"Personal remittances, received (% of GDP)",,,,
Cuba,"Personal remittances, received (current US$)",,,,
Cuba,GDP growth (annual %),11.20165642,2.390352297,4.438141959,1.783497627
Cuba,GDP (current US$),42643836075,64328000000,87133000000,96851000000
Curaçao,"Personal remittances, received (% of GDP)",,,4.517079052,5.138802059
