Year,"Major area, region, country or area of destination",0-4,9-May,14-Oct, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total,0-4,9-May,14-Oct, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total,0-4,9-May,14-Oct, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
2017,Austria,"19,032","18,080","34,344","41,520","60,495","121,051","177,154","187,196","173,891","160,945","154,672","137,103","110,058","90,012","72,359","102,371","1,660,283","9,984","9,350","17,748","21,828","30,082","59,486","86,521","90,228","80,788","80,163","79,355","66,948","51,356","41,564","32,659","39,022","797,082","9,048","8,730","16,596","19,692","30,413","61,565","90,633","96,968","93,103","80,782","75,317","70,155","58,702","48,448","39,700","63,349","863,201"
2017,Belgium,"75,886","67,688","57,519","56,024","78,960","118,392","137,052","130,355","116,739","101,702","83,820","66,762","53,499","41,980","31,773","50,260","1,268,411","37,989","34,244","28,815","28,856","36,687","55,922","68,702","67,771","62,038","54,991","45,517","36,162","28,492","21,981","15,404","20,518","644,089","37,897","33,444","28,704","27,168","42,273","62,470","68,350","62,584","54,701","46,711","38,303","30,600","25,007","19,999","16,369","29,742","624,322"
2017,France,"87,134","161,990","198,014","270,494","361,770","502,826","601,790","675,885","667,551","663,744","665,440","677,716","642,087","567,370","412,048","746,924","7,902,783","45,051","82,681","99,214","138,804","171,344","229,034","271,683","320,964","326,432","327,869","325,407","324,905","312,278","290,014","211,485","331,676","3,808,841","42,083","79,309","98,800","131,690","190,426","273,792","330,107","354,921","341,119","335,875","340,033","352,811","329,809","277,356","200,563","415,248","4,093,942"
2017,Germany,"84,577","196,003","207,078","290,261","709,578","1,164,098","1,287,621","1,284,638","1,265,719","1,187,764","1,109,879","931,364","765,534","615,863","434,171","630,935","12,165,083","47,086","104,654","108,455","153,619","354,656","550,897","618,716","629,916","648,895","623,419","557,525","442,725","394,118","316,969","226,063","277,554","6,055,267","37,491","91,349","98,623","136,642","354,922","613,201","668,905","654,722","616,824","564,345","552,354","488,639","371,416","298,894","208,108","353,381","6,109,816"
2017,Liechtenstein,"1,226",884,870,883,979,"1,459","2,037","2,504","2,531","2,592","2,222","1,809","1,392","1,179",908,"1,208","24,683",642,456,435,440,487,744,"1,026","1,259","1,245","1,261","1,059",858,659,560,395,487,"12,013",584,428,435,443,492,715,"1,011","1,245","1,286","1,331","1,163",951,733,619,513,721,"12,670"
2017,Luxembourg,"3,317","7,539","8,410","9,424","12,752","22,932","27,906","29,637","29,302","27,831","24,133","18,327","13,527","10,993","7,097","10,946","264,073","1,700","3,934","4,429","4,761","6,444","11,658","13,733","14,746","14,852","14,551","12,955","9,727","7,063","5,690","3,568","4,396","134,207","1,617","3,605","3,981","4,663","6,308","11,274","14,173","14,891","14,450","13,280","11,178","8,600","6,464","5,303","3,529","6,550","129,866"
2017,Monaco,379,499,547,656,870,"1,023","1,048","1,160","1,414","1,676","1,782","1,766","1,742","1,728","1,617","3,348","21,255",185,245,272,334,449,520,516,559,686,828,895,891,870,850,770,"1,561","10,431",194,254,275,322,421,503,532,601,728,848,887,875,872,878,847,"1,787","10,824"
2017,Netherlands,"24,120","44,101","48,402","70,018","134,846","185,562","208,723","203,774","215,107","208,385","185,392","150,927","117,120","97,668","63,440","98,935","2,056,520","12,577","22,875","23,817","35,572","64,632","89,177","100,090","95,321","100,179","101,789","91,265","71,931","54,174","47,039","31,396","41,752","983,586","11,543","21,226","24,585","34,446","70,214","96,385","108,633","108,453","114,928","106,596","94,127","78,996","62,946","50,629","32,044","57,183","1,072,934"
2017,Switzerland,"20,622","49,147","60,086","73,062","124,716","212,506","271,036","281,351","261,946","246,654","232,300","193,982","142,754","105,410","84,489","146,333","2,506,394","10,537","25,001","30,479","37,771","62,388","104,989","133,855","139,370","128,539","122,252","118,457","100,032","70,369","49,671","38,908","54,696","1,227,314","10,085","24,146","29,607","35,291","62,328","107,517","137,181","141,981","133,407","124,402","113,843","93,950","72,385","55,739","45,581","91,637","1,279,080"
2017,LATIN AMERICA AND THE CARIBBEAN,"563,196","564,782","530,589","544,354","681,187","841,317","896,314","844,687","760,216","671,800","573,716","480,986","434,471","352,580","278,345","489,649","9,508,189","288,553","288,306","267,839","268,309","332,217","408,423","441,391","418,753","379,056","338,205","288,968","242,885","216,243","179,763","140,098","219,972","4,718,981","274,643","276,476","262,750","276,045","348,970","432,894","454,923","425,934","381,160","333,595","284,748","238,101","218,228","172,817","138,247","269,677","4,789,208"
2017,Caribbean,"50,508","55,866","63,371","81,207","121,882","157,051","156,204","140,069","123,973","109,417","92,676","74,068","59,222","43,170","29,697","41,366","1,399,747","25,992","28,454","31,711","41,589","64,537","83,804","82,973","71,953","62,466","54,129","45,890","36,500","30,328","22,480","15,548","20,194","718,548","24,516","27,412","31,660","39,618","57,345","73,247","73,231","68,116","61,507","55,288","46,786","37,568","28,894","20,690","14,149","21,172","681,199"
2017,Anguilla,404,353,310,302,351,423,480,503,501,482,423,334,245,176,129,163,"5,579",188,164,144,144,171,205,227,239,251,253,216,159,109,69,50,57,"2,646",216,189,166,158,180,218,253,264,250,229,207,175,136,107,79,106,"2,933"
